 # Time [s], c_{ex}/c_{th}, total number of produced vacancies/c_{th}, total number of annihilated vacancies /c_{th}
                            0.000000E+00                                     NaN                                Infinity                                Infinity
                            0.133039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.133539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.134039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.134539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.135039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.135539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.136039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.136539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.137039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.137539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.138039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.138539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.139039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
