 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                             1257.499822                            0.133040E-01                            0.125000E+00****************************************                            0.000000E+00                            0.674857E-01                            0.000000E+00
                              465.368445                             1038.254615                            0.132680E-01                            0.793870E-01                           -0.155772E+00                            0.165261E+13                            0.765286E-01                            0.000000E+00
                              470.258031                             1036.337070                            0.132658E-01                            0.790569E-01                           -0.156586E+00                            0.165401E+13                            0.765908E-01                            0.000000E+00
                              475.170717                             1034.420135                            0.132636E-01                            0.787274E-01                           -0.157405E+00                            0.165538E+13                            0.766528E-01                            0.000000E+00
                              480.106658                             1032.503947                            0.132612E-01                            0.783987E-01                           -0.158230E+00                            0.165673E+13                            0.767147E-01                            0.000000E+00
                              485.066007                             1030.588643                            0.132587E-01                            0.780707E-01                           -0.159061E+00                            0.165805E+13                            0.767763E-01                            0.000000E+00
                              490.048919                             1028.674360                            0.132562E-01                            0.777433E-01                           -0.159897E+00                            0.165935E+13                            0.768378E-01                            0.000000E+00
                              495.055551                             1026.761237                            0.132535E-01                            0.774167E-01                           -0.160739E+00                            0.166062E+13                            0.768991E-01                            0.000000E+00
                              500.086062                             1024.849412                            0.132507E-01                            0.770908E-01                           -0.161587E+00                            0.166187E+13                            0.769602E-01                            0.000000E+00
                              505.140610                             1022.939025                            0.132478E-01                            0.767656E-01                           -0.162441E+00                            0.166309E+13                            0.770212E-01                            0.000000E+00
                              510.219356                             1021.030214                            0.132448E-01                            0.764411E-01                           -0.163300E+00                            0.166428E+13                            0.770820E-01                            0.000000E+00
                              515.322461                             1019.123120                            0.132416E-01                            0.761173E-01                           -0.164166E+00                            0.166545E+13                            0.771426E-01                            0.000000E+00
                              520.054782                             1017.364368                            0.132386E-01                            0.758191E-01                           -0.164970E+00                            0.166650E+13                            0.771983E-01                            0.000000E+00
                              525.205191                             1015.460965                            0.132352E-01                            0.754967E-01                           -0.165847E+00                            0.166762E+13                            0.772586E-01                            0.000000E+00
                              530.380440                             1013.559685                            0.132317E-01                            0.751750E-01                           -0.166730E+00                            0.166871E+13                            0.773187E-01                            0.000000E+00
                              535.179784                             1011.806661                            0.132284E-01                            0.748787E-01                           -0.167550E+00                            0.166969E+13                            0.773740E-01                            0.000000E+00
                              540.000568                             1010.055673                            0.132249E-01                            0.745831E-01                           -0.168376E+00                            0.167065E+13                            0.774291E-01                            0.000000E+00
                              545.247431                             1008.161193                            0.132210E-01                            0.742634E-01                           -0.169277E+00                            0.167166E+13                            0.774887E-01                            0.000000E+00
                              550.113308                             1006.414795                            0.132173E-01                            0.739691E-01                           -0.170114E+00                            0.167257E+13                            0.775436E-01                            0.000000E+00
                              555.001038                             1004.670766                            0.132134E-01                            0.736753E-01                           -0.170956E+00                            0.167345E+13                            0.775982E-01                            0.000000E+00
                              560.320897                             1002.784199                            0.132091E-01                            0.733578E-01                           -0.171875E+00                            0.167438E+13                            0.776573E-01                            0.000000E+00
                              565.254592                             1001.045449                            0.132050E-01                            0.730653E-01                           -0.172728E+00                            0.167521E+13                            0.777117E-01                            0.000000E+00
                              570.210563                              999.309396                            0.132008E-01                            0.727735E-01                           -0.173587E+00                            0.167602E+13                            0.777659E-01                            0.000000E+00
                              575.188949                              997.576146                            0.131964E-01                            0.724823E-01                           -0.174452E+00                            0.167680E+13                            0.778200E-01                            0.000000E+00
                              580.189890                              995.845803                            0.131919E-01                            0.721918E-01                           -0.175322E+00                            0.167756E+13                            0.778739E-01                            0.000000E+00
                              585.213528                              994.118471                            0.131873E-01                            0.719018E-01                           -0.176198E+00                            0.167829E+13                            0.779277E-01                            0.000000E+00
                              590.260004                              992.394252                            0.131825E-01                            0.716125E-01                           -0.177080E+00                            0.167899E+13                            0.779813E-01                            0.000000E+00
                              595.329463                              990.673248                            0.131776E-01                            0.713239E-01                           -0.177967E+00                            0.167967E+13                            0.780348E-01                            0.000000E+00
                              600.422048                              988.955560                            0.131726E-01                            0.710359E-01                           -0.178860E+00                            0.168032E+13                            0.780881E-01                            0.000000E+00
                              605.110690                              987.384011                            0.131679E-01                            0.707724E-01                           -0.179684E+00                            0.168090E+13                            0.781368E-01                            0.000000E+00
                              610.248008                              985.672957                            0.131625E-01                            0.704857E-01                           -0.180588E+00                            0.168150E+13                            0.781898E-01                            0.000000E+00
                              615.408879                              983.965508                            0.131571E-01                            0.701995E-01                           -0.181498E+00                            0.168207E+13                            0.782427E-01                            0.000000E+00
                              620.160495                              982.403595                            0.131519E-01                            0.699378E-01                           -0.182338E+00                            0.168257E+13                            0.782911E-01                            0.000000E+00
                              625.366925                              980.703323                            0.131462E-01                            0.696529E-01                           -0.183259E+00                            0.168309E+13                            0.783436E-01                            0.000000E+00
                              630.160557                              979.148151                            0.131408E-01                            0.693924E-01                           -0.184110E+00                            0.168354E+13                            0.783917E-01                            0.000000E+00
                              635.413100                              977.455405                            0.131347E-01                            0.691087E-01                           -0.185043E+00                            0.168400E+13                            0.784440E-01                            0.000000E+00
                              640.249258                              975.907286                            0.131290E-01                            0.688493E-01                           -0.185904E+00                            0.168440E+13                            0.784918E-01                            0.000000E+00
                              645.105937                              974.362651                            0.131232E-01                            0.685904E-01                           -0.186770E+00                            0.168478E+13                            0.785395E-01                            0.000000E+00
                              650.427677                              972.681647                            0.131167E-01                            0.683086E-01                           -0.187720E+00                            0.168516E+13                            0.785913E-01                            0.000000E+00
                              655.327649                              971.144516                            0.131106E-01                            0.680509E-01                           -0.188597E+00                            0.168549E+13                            0.786387E-01                            0.000000E+00
                              660.248513                              969.611078                            0.131044E-01                            0.677937E-01                           -0.189479E+00                            0.168579E+13                            0.786860E-01                            0.000000E+00
                              665.190391                              968.081400                            0.130980E-01                            0.675371E-01                           -0.190367E+00                            0.168606E+13                            0.787331E-01                            0.000000E+00
                              670.153405                              966.555547                            0.130915E-01                            0.672811E-01                           -0.191260E+00                            0.168631E+13                            0.787801E-01                            0.000000E+00
                              675.137678                              965.033582                            0.130849E-01                            0.670256E-01                           -0.192158E+00                            0.168653E+13                            0.788270E-01                            0.000000E+00
                              680.143334                              963.515570                            0.130781E-01                            0.667706E-01                           -0.193062E+00                            0.168673E+13                            0.788738E-01                            0.000000E+00
                              685.170499                              962.001572                            0.130711E-01                            0.665163E-01                           -0.193971E+00                            0.168690E+13                            0.789204E-01                            0.000000E+00
                              690.219296                              960.491650                            0.130640E-01                            0.662625E-01                           -0.194886E+00                            0.168705E+13                            0.789669E-01                            0.000000E+00
                              695.289854                              958.985863                            0.130568E-01                            0.660092E-01                           -0.195806E+00                            0.168717E+13                            0.790133E-01                            0.000000E+00
