 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                             1257.499822                            0.133040E-01                            0.125000E+00****************************************                            0.000000E+00                            0.674857E-01                            0.000000E+00
                              575.275620                             1139.602585                            0.133038E-01                            0.981868E-01                           -0.261008E+00                            0.111043E+13                            0.729123E-01                            0.000000E+00
                              580.260495                             1138.785356                            0.133038E-01                            0.980213E-01                           -0.262242E+00                            0.110919E+13                            0.729448E-01                            0.000000E+00
                              585.267085                             1137.967526                            0.133037E-01                            0.978559E-01                           -0.263487E+00                            0.110791E+13                            0.729773E-01                            0.000000E+00
                              590.295555                             1137.149093                            0.133037E-01                            0.976907E-01                           -0.264741E+00                            0.110661E+13                            0.730097E-01                            0.000000E+00
                              595.346067                             1136.330061                            0.133037E-01                            0.975256E-01                           -0.266005E+00                            0.110528E+13                            0.730421E-01                            0.000000E+00
                              600.418788                             1135.510430                            0.133037E-01                            0.973607E-01                           -0.267279E+00                            0.110392E+13                            0.730744E-01                            0.000000E+00
                              605.513887                             1134.690202                            0.133037E-01                            0.971959E-01                           -0.268563E+00                            0.110253E+13                            0.731067E-01                            0.000000E+00
                              610.631533                             1133.869378                            0.133036E-01                            0.970313E-01                           -0.269857E+00                            0.110111E+13                            0.731389E-01                            0.000000E+00
                              615.771899                             1133.047961                            0.133036E-01                            0.968668E-01                           -0.271162E+00                            0.109966E+13                            0.731712E-01                            0.000000E+00
                              620.073017                             1132.362995                            0.133036E-01                            0.967298E-01                           -0.272257E+00                            0.109842E+13                            0.731980E-01                            0.000000E+00
                              625.255487                             1131.540495                            0.133036E-01                            0.965656E-01                           -0.273580E+00                            0.109692E+13                            0.732301E-01                            0.000000E+00
                              630.461175                             1130.717407                            0.133035E-01                            0.964015E-01                           -0.274915E+00                            0.109538E+13                            0.732622E-01                            0.000000E+00
                              635.690258                             1129.893732                            0.133035E-01                            0.962376E-01                           -0.276260E+00                            0.109381E+13                            0.732943E-01                            0.000000E+00
                              640.065830                             1129.206892                            0.133035E-01                            0.961011E-01                           -0.277389E+00                            0.109247E+13                            0.733210E-01                            0.000000E+00
                              645.338278                             1128.382150                            0.133034E-01                            0.959374E-01                           -0.278754E+00                            0.109084E+13                            0.733529E-01                            0.000000E+00
                              650.634642                             1127.556829                            0.133034E-01                            0.957739E-01                           -0.280131E+00                            0.108918E+13                            0.733849E-01                            0.000000E+00
                              655.066681                             1126.868621                            0.133034E-01                            0.956377E-01                           -0.281286E+00                            0.108777E+13                            0.734115E-01                            0.000000E+00
                              660.407377                             1126.042246                            0.133033E-01                            0.954745E-01                           -0.282684E+00                            0.108604E+13                            0.734433E-01                            0.000000E+00
                              665.772525                             1125.215299                            0.133033E-01                            0.953114E-01                           -0.284092E+00                            0.108428E+13                            0.734752E-01                            0.000000E+00
                              670.262298                             1124.525743                            0.133033E-01                            0.951756E-01                           -0.285275E+00                            0.108279E+13                            0.735017E-01                            0.000000E+00
                              675.672777                             1123.697758                            0.133032E-01                            0.950128E-01                           -0.286706E+00                            0.108097E+13                            0.735334E-01                            0.000000E+00
                              680.200601                             1123.007340                            0.133032E-01                            0.948772E-01                           -0.287906E+00                            0.107942E+13                            0.735598E-01                            0.000000E+00
                              685.657074                             1122.178326                            0.133031E-01                            0.947147E-01                           -0.289359E+00                            0.107753E+13                            0.735915E-01                            0.000000E+00
                              690.223509                             1121.487056                            0.133031E-01                            0.945793E-01                           -0.290578E+00                            0.107593E+13                            0.736179E-01                            0.000000E+00
                              695.726655                             1120.657025                            0.133030E-01                            0.944171E-01                           -0.292053E+00                            0.107398E+13                            0.736495E-01                            0.000000E+00
